       1       1        0.4231419017
       1       2        0.0000000000
       1       3        0.0000000000
       1       4        0.0000000000
       1       5        0.1727794635
       1       6        0.0000000000
       1       7        0.0161796399
       1       8        0.0000000000
       1       9        0.0425366410
       1      10        0.0000000000
       1      11        0.0593653375
       1      12        0.0000000000
       2       1        0.6873941239
       2       2        0.0000003470
       2       3        0.0003119121
       2       4        0.0000914970
       2       5        0.0832674833
       2       6        0.0000001901
       2       7        0.0066961413
       2       8        0.0000003847
       2       9        0.0131806246
       2      10        0.0000010818
       2      11        0.0083310678
       2      12        0.0000062747
       3       1        0.6415661671
       3       2        0.0000007972
       3       3        0.0010727629
       3       4        0.0008174756
       3       5        0.0962798978
       3       6        0.0000000997
       3       7        0.0080849219
       3       8        0.0000001792
       3       9        0.0174110596
       3      10        0.0000004564
       3      11        0.0148090836
       3      12        0.0000025033
       4       1        0.6392391553
       4       2        0.0000736784
       4       3        0.0003832213
       4       4        0.0001355608
       4       5        0.0948121420
       4       6        0.0000060530
       4       7        0.0080114845
       4       8        0.0000085504
       4       9        0.0174177030
       4      10        0.0000123658
       4      11        0.0152275777
       4      12        0.0000379351
       5       1        0.6162597031
       5       2        0.0002252321
       5       3        0.0040792935
       5       4        0.0013739663
       5       5        0.0969342633
       5       6        0.0000241248
       5       7        0.0083194050
       5       8        0.0000347017
       5       9        0.0186530533
       5      10        0.0000488874
       5      11        0.0176373489
       5      12        0.0000694972
       6       1        0.6022977839
       6       2        0.0005019978
       6       3        0.0021456319
       6       4        0.0052346263
       6       5        0.0934235580
       6       6        0.0000434263
       6       7        0.0080742264
       6       8        0.0000613140
       6       9        0.0182331889
       6      10        0.0000807205
       6      11        0.0175694635
       6      12        0.0000720675
       7       1        0.5903380623
       7       2        0.0005484165
       7       3        0.0000650133
       7       4        0.0050480327
       7       5        0.0908692719
       7       6        0.0000454466
       7       7        0.0079484842
       7       8        0.0000638232
       7       9        0.0183333853
       7      10        0.0000841856
       7      11        0.0186425274
       7      12        0.0001088119
       8       1        0.5500749435
       8       2        0.0003137544
       8       3        0.0054967683
       8       4        0.0019831453
       8       5        0.0932708922
       8       6        0.0000335217
       8       7        0.0083475579
       8       8        0.0000475232
       8       9        0.0200046459
       8      10        0.0000638161
       8      11        0.0220346586
       8      12        0.0000629777
       9       1        0.5700500077
       9       2        0.0003513921
       9       3        0.0005601041
       9       4        0.0033479636
       9       5        0.0797805488
       9       6        0.0000370234
       9       7        0.0070515013
       9       8        0.0000529842
       9       9        0.0164048816
       9      10        0.0000725264
       9      11        0.0166721313
       9      12        0.0000762444
      10       1        0.5598864694
      10       2        0.0003883880
      10       3        0.0052921721
      10       4        0.0043214461
      10       5        0.0734568415
      10       6        0.0000358394
      10       7        0.0065085378
      10       8        0.0000498599
      10       9        0.0151355852
      10      10        0.0000639805
      10      11        0.0151667824
      10      12        0.0000640985
      11       1        0.5489107265
      11       2        0.0000616290
      11       3        0.0016586445
      11       4        0.0032792882
      11       5        0.0693080592
      11       6        0.0000093929
      11       7        0.0062469435
      11       8        0.0000150658
      11       9        0.0149771381
      11      10        0.0000287656
      11      11        0.0160684394
      11      12        0.0000844204
      12       1        0.5210138994
      12       2        0.0000725854
      12       3        0.0025471388
      12       4        0.0037635186
      12       5        0.0696239329
      12       6        0.0000011283
      12       7        0.0064305762
      12       8        0.0000006820
      12       9        0.0160176955
      12      10        0.0000007038
      12      11        0.0187389540
      12      12        0.0000635382
      13       1        0.4922391339
      13       2        0.0000463910
      13       3        0.0011764063
      13       4        0.0041624511
      13       5        0.0680452932
      13       6        0.0000030428
      13       7        0.0064284264
      13       8        0.0000052727
      13       9        0.0165827490
      13      10        0.0000169766
      13      11        0.0209525838
      13      12        0.0001719752
      14       1        0.4822100652
      14       2        0.0006113868
      14       3        0.0000766220
      14       4        0.0006583863
      14       5        0.0631911185
      14       6        0.0000548026
      14       7        0.0060223986
      14       8        0.0000744219
      14       9        0.0156985224
      14      10        0.0000922601
      14      11        0.0199384771
      14      12        0.0000677605
      15       1        0.4512621496
      15       2        0.0021426687
      15       3        0.0177415266
      15       4        0.0002224727
      15       5        0.0615040019
      15       6        0.0001959433
      15       7        0.0060219769
      15       8        0.0002673082
      15       9        0.0162992282
      15      10        0.0003296637
      15      11        0.0224731195
      15      12        0.0002369382
      16       1        0.4316284915
      16       2        0.0012078254
      16       3        0.0218078149
      16       4        0.0024472274
      16       5        0.0579686726
      16       6        0.0000924612
      16       7        0.0057514249
      16       8        0.0001177101
      16       9        0.0158109342
      16      10        0.0001177758
      16      11        0.0222273297
      16      12        0.0001429184
      17       1        0.4041743387
      17       2        0.0023681874
      17       3        0.0208689078
      17       4        0.0008614138
      17       5        0.0587665410
      17       6        0.0002049313
      17       7        0.0059657502
      17       8        0.0002751976
      17       9        0.0169479664
      17      10        0.0003268705
      17      11        0.0252166450
      17      12        0.0002451532
      18       1        0.3966130497
      18       2        0.0026052878
      18       3        0.0252312766
      18       4        0.0017573833
      18       5        0.0528531172
      18       6        0.0002818229
      18       7        0.0054056834
      18       8        0.0003992010
      18       9        0.0154398666
      18      10        0.0005585212
      18      11        0.0228792316
      18      12        0.0006193444
      19       1        0.3808166066
      19       2        0.0019628456
      19       3        0.0232293823
      19       4        0.0036103126
      19       5        0.0507360471
      19       6        0.0001955420
      19       7        0.0052612337
      19       8        0.0002696429
      19       9        0.0152976319
      19      10        0.0003467612
      19      11        0.0233723670
      19      12        0.0002570200
      20       1        0.4118380083
      20       2        0.0039717982
      20       3        0.0126606673
      20       4        0.0098415103
      20       5        0.0409707904
      20       6        0.0004001864
      20       7        0.0042212138
      20       8        0.0005524995
      20       9        0.0120412607
      20      10        0.0007319294
      20      11        0.0175115463
      20      12        0.0007800393
      21       1        0.3931711171
      21       2        0.0031748600
      21       3        0.0118946547
      21       4        0.0056643181
      21       5        0.0405501957
      21       6        0.0002965680
      21       7        0.0042343829
      21       8        0.0003982677
      21       9        0.0122838764
      21      10        0.0004873789
      21      11        0.0182306735
      21      12        0.0005066742
      22       1        0.3879875462
      22       2        0.0037912433
      22       3        0.0170257802
      22       4        0.0034027314
      22       5        0.0373624905
      22       6        0.0003754776
      22       7        0.0039242596
      22       8        0.0005082684
      22       9        0.0114472533
      22      10        0.0006277724
      22      11        0.0169404339
      22      12        0.0004433454
      23       1        0.4140676134
      23       2        0.0018058023
      23       3        0.0088799776
      23       4        0.0050742465
      23       5        0.0293792797
      23       6        0.0002109981
      23       7        0.0030549643
      23       8        0.0003137238
      23       9        0.0087722213
      23      10        0.0005355557
      23      11        0.0125986390
      23      12        0.0012482030
      24       1        0.4127906026
      24       2        0.0102269012
      24       3        0.0011642791
      24       4        0.0093324000
      24       5        0.0269342442
      24       6        0.0010098116
      24       7        0.0027846980
      24       8        0.0013422121
      24       9        0.0078561189
      24      10        0.0016152242
      24      11        0.0104786010
      24      12        0.0007238562
      25       1        0.4153662967
      25       2        0.0159871518
      25       3        0.0015529888
      25       4        0.0032972477
      25       5        0.0256454531
      25       6        0.0016736860
      25       7        0.0026550315
      25       8        0.0022528706
      25       9        0.0074745090
      25      10        0.0028616983
      25      11        0.0099783294
      25      12        0.0016946538
      26       1        0.4362546299
      26       2        0.0187887447
      26       3        0.0022160272
      26       4        0.0056839332
      26       5        0.0207644482
      26       6        0.0020312676
      26       7        0.0021066343
      26       8        0.0027670510
      26       9        0.0056811780
      26      10        0.0036731829
      26      11        0.0064637103
      26      12        0.0027698746
      27       1        0.4205083030
      27       2        0.0184684264
      27       3        0.0004162440
      27       4        0.0034391655
      27       5        0.0207956676
      27       6        0.0020442776
      27       7        0.0021272807
      27       8        0.0027836978
      27       9        0.0057903182
      27      10        0.0037386722
      27      11        0.0066303672
      27      12        0.0028753143
      28       1        0.4169165317
      28       2        0.0175647727
      28       3        0.0036781981
      28       4        0.0068635129
      28       5        0.0179002019
      28       6        0.0018854835
      28       7        0.0018168252
      28       8        0.0025222503
      28       9        0.0048730216
      28      10        0.0032470755
      28      11        0.0054434036
      28      12        0.0018804375
      29       1        0.4098984163
      29       2        0.0173786644
      29       3        0.0090795454
      29       4        0.0072057582
      29       5        0.0197232724
      29       6        0.0020049404
      29       7        0.0020188437
      29       8        0.0027318330
      29       9        0.0055191194
      29      10        0.0037841202
      29      11        0.0066595916
      29      12        0.0032024790
      30       1        0.4086386971
      30       2        0.0179000783
      30       3        0.0156923897
      30       4        0.0072782677
      30       5        0.0194297960
      30       6        0.0020836713
      30       7        0.0019867067
      30       8        0.0028280831
      30       9        0.0054242165
      30      10        0.0039164706
      30      11        0.0065105151
      30      12        0.0031259166
      31       1        0.3646992445
      31       2        0.0045352137
      31       3        0.0103732763
      31       4        0.0059421960
      31       5        0.0271240977
      31       6        0.0003335483
      31       7        0.0028618969
      31       8        0.0003667224
      31       9        0.0082379389
      31      10        0.0002134547
      31      11        0.0111537589
      31      12        0.0008525562
      32       1        0.3477132394
      32       2        0.0043157198
      32       3        0.0040985261
      32       4        0.0007495149
      32       5        0.0261518892
      32       6        0.0002986410
      32       7        0.0027768304
      32       8        0.0003160887
      32       9        0.0081082142
      32      10        0.0001568671
      32      11        0.0115013611
      32      12        0.0013569519
      33       1        0.3354509589
      33       2        0.0271401711
      33       3        0.0012117304
      33       4        0.0020592784
      33       5        0.0241418112
      33       6        0.0024629669
      33       7        0.0025528625
      33       8        0.0029539786
      33       9        0.0074440783
      33      10        0.0026555060
      33      11        0.0109071005
      33      12        0.0004905460
      34       1        0.3406636145
      34       2        0.0327163078
      34       3        0.0016971253
      34       4        0.0006471089
      34       5        0.0214887838
      34       6        0.0030619776
      34       7        0.0022298908
      34       8        0.0036996843
      34       9        0.0062867836
      34      10        0.0034944053
      34      11        0.0084487701
      34      12        0.0006549546
      35       1        0.3447257051
      35       2        0.0312320519
      35       3        0.0017503509
      35       4        0.0016255584
      35       5        0.0197025207
      35       6        0.0030304597
      35       7        0.0020064991
      35       8        0.0036752236
      35       9        0.0055118915
      35      10        0.0035919436
      35      11        0.0069919851
      35      12        0.0006600449
      36       1        0.3473183590
      36       2        0.0197601805
      36       3        0.0030009135
      36       4        0.0026219738
      36       5        0.0187791008
      36       6        0.0018324063
      36       7        0.0018944196
      36       8        0.0021541661
      36       9        0.0051224268
      36      10        0.0018886742
      36      11        0.0063135117
      36      12        0.0009742300
      37       1        0.3615675793
      37       2        0.0106919856
      37       3        0.0035354315
      37       4        0.0026441649
      37       5        0.0172377048
      37       6        0.0011476143
      37       7        0.0016982488
      37       8        0.0013615306
      37       9        0.0044142786
      37      10        0.0012792565
      37      11        0.0046450642
      37      12        0.0002225362
      38       1        0.3442764733
      38       2        0.0087851959
      38       3        0.0091232203
      38       4        0.0043102210
      38       5        0.0196672785
      38       6        0.0006922360
      38       7        0.0019508185
      38       8        0.0008329369
      38       9        0.0052154734
      38      10        0.0007794105
      38      11        0.0061285607
      38      12        0.0004839426
      39       1        0.3245193394
      39       2        0.0351206901
      39       3        0.0042271161
      39       4        0.0022343335
      39       5        0.0191624374
      39       6        0.0030387865
      39       7        0.0018858814
      39       8        0.0035509412
      39       9        0.0049764065
      39      10        0.0030231570
      39      11        0.0055461978
      39      12        0.0012423779
      40       1        0.3320339857
      40       2        0.0442714445
      40       3        0.0030774408
      40       4        0.0029154917
      40       5        0.0179787773
      40       6        0.0039701718
      40       7        0.0017556890
      40       8        0.0046118531
      40       9        0.0046190308
      40      10        0.0039004862
      40      11        0.0053206420
      40      12        0.0013892018
      41       1        0.3418839591
      41       2        0.0400910795
      41       3        0.0022772766
      41       4        0.0026147268
      41       5        0.0158972395
      41       6        0.0036278235
      41       7        0.0015265207
      41       8        0.0041483059
      41       9        0.0039309608
      41      10        0.0033020745
      41      11        0.0043797213
      41      12        0.0017761414
      42       1        0.1816506700
      42       2        0.0096325018
      42       3        0.0066375904
      42       4        0.0042712909
      42       5        0.0583857110
      42       6        0.0013654565
      42       7        0.0063239284
      42       8        0.0015605323
      42       9        0.0201978304
      42      10        0.0017699865
      42      11        0.0387628457
      42      12        0.0058054452
      43       1        0.1604301532
      43       2        0.0027521753
      43       3        0.0111192755
      43       4        0.0058514384
      43       5        0.0609864481
      43       6        0.0000834834
      43       7        0.0066050433
      43       8        0.0000855852
      43       9        0.0211541942
      43      10        0.0003105819
      43      11        0.0402506933
      43      12        0.0134323013
      44       1        0.1589119284
      44       2        0.0026257377
      44       3        0.0111147674
      44       4        0.0024220505
      44       5        0.0593284359
      44       6        0.0000722033
      44       7        0.0063894202
      44       8        0.0000749572
      44       9        0.0204108295
      44      10        0.0003575639
      44      11        0.0383160481
      44      12        0.0125141952
      45       1        0.1663912234
      45       2        0.0650622601
      45       3        0.0145616923
      45       4        0.0036557855
      45       5        0.0522651060
      45       6        0.0032397812
      45       7        0.0055868781
      45       8        0.0028239251
      45       9        0.0177335637
      45      10        0.0000469912
      45      11        0.0329747057
      45      12        0.0440433791
      46       1        0.1520669027
      46       2        0.0385088382
      46       3        0.0117441550
      46       4        0.0120491652
      46       5        0.0586267277
      46       6        0.0020307905
      46       7        0.0063836371
      46       8        0.0018369760
      46       9        0.0215760836
      46      10        0.0095776710
      46      11        0.0357549849
      46      12        0.0594031306
      47       1        0.1410061189
      47       2        0.0112651443
      47       3        0.0064072402
      47       4        0.0086037658
      47       5        0.0624879806
      47       6        0.0010750128
      47       7        0.0070234706
      47       8        0.0021848696
      47       9        0.0262446573
      47      10        0.0605839341
      47      11        0.0045799661
      47      12        0.0199782506
      48       1        0.1317868011
      48       2        0.0126343583
      48       3        0.0142958334
      48       4        0.0038596726
      48       5        0.0639308881
      48       6        0.0016890029
      48       7        0.0071688874
      48       8        0.0032684442
      48       9        0.0267243630
      48      10        0.0665015533
      48      11        0.0065728828
      48      12        0.0214248908
      49       1        0.0350791195
      49       2        0.0119447503
      49       3        0.0154301139
      49       4        0.0067337523
      49       5        0.0957193198
      49       6        0.0027700984
      49       7        0.0110394518
      49       8        0.0444262449
      49       9        0.0125245270
      49      10        0.0305736882
      49      11        0.0738007694
      49      12        0.0080080027
      50       1        0.0282794597
      50       2        0.0128464109
      50       3        0.0126742837
      50       4        0.0033416312
      50       5        0.0937444315
      50       6        0.0039750537
      50       7        0.0107442359
      50       8        0.0664632772
      50       9        0.0028504844
      50      10        0.0149146723
      50      11        0.0693044672
      50      12        0.0251199122
      51       1        0.0189865694
      51       2        0.0032349015
      51       3        0.0043064746
      51       4        0.0114440042
      51       5        0.0856684916
      51       6        0.0207261979
      51       7        0.0147724343
      51       8        0.0523631617
      51       9        0.0230169721
      51      10        0.0225691518
      51      11        0.0678756039
      51      12        0.0204720970
      52       1        0.0227917313
      52       2        0.0016653168
      52       3        0.0032697428
      52       4        0.0142637404
      52       5        0.0872068721
      52       6        0.0178148904
      52       7        0.0142332064
      52       8        0.0550974903
      52       9        0.0212287113
      52      10        0.0226230134
      52      11        0.0684646744
      52      12        0.0190559027
      53       1        0.0229806392
      53       2        0.0046594173
      53       3        0.0043044355
      53       4        0.0090002153
      53       5        0.0928472984
      53       6        0.0197715377
      53       7        0.0139861971
      53       8        0.0407451435
      53       9        0.0185845252
      53      10        0.0375745091
      53      11        0.0652529946
      53      12        0.0301538936
      54       1        0.0223293640
      54       2        0.0055028336
      54       3        0.0035654124
      54       4        0.0036318588
      54       5        0.0871934227
      54       6        0.0165431307
      54       7        0.0136642983
      54       8        0.0400378633
      54       9        0.0199554555
      54      10        0.0435363192
      54      11        0.0694988344
      54      12        0.0311778204
      55       1        0.0194896382
      55       2        0.0065633306
      55       3        0.0026297761
      55       4        0.0038858996
      55       5        0.0907395831
      55       6        0.0199527463
      55       7        0.0140459887
      55       8        0.0454743307
      55       9        0.0196015110
      55      10        0.0277092300
      55      11        0.0645896685
      55      12        0.0238667765
      56       1        0.0155810254
      56       2        0.0097438722
      56       3        0.0037043855
      56       4        0.0007706048
      56       5        0.0941155748
      56       6        0.0189166854
      56       7        0.0147119303
      56       8        0.0338894380
      56       9        0.0202331516
      56      10        0.0457152534
      56      11        0.0593442759
      56      12        0.0301741504
      57       1        0.0231006268
      57       2        0.0030988592
      57       3        0.0032442319
      57       4        0.0060396953
      57       5        0.0889698983
      57       6        0.0167478599
      57       7        0.0138870820
      57       8        0.0457873879
      57       9        0.0202376828
      57      10        0.0304075912
      57      11        0.0190800339
      57      12        0.0667777002
      58       1        0.0227892190
      58       2        0.0031945653
      58       3        0.0083886782
      58       4        0.0049264487
      58       5        0.0833333662
      58       6        0.0133942548
      58       7        0.0126997064
      58       8        0.0372847301
      58       9        0.0193707106
      58      10        0.0370845023
      58      11        0.0247771167
      58      12        0.0684404100
      59       1        0.0248805719
      59       2        0.0040209392
      59       3        0.0077998117
      59       4        0.0055874417
      59       5        0.0812129560
      59       6        0.0127979948
      59       7        0.0124913769
      59       8        0.0341492320
      59       9        0.0198069132
      59      10        0.0421270564
      59      11        0.0229247977
      59      12        0.0703012315
      60       1        0.0104231656
      60       2        0.0342083351
      60       3        0.0003892987
      60       4        0.0008610925
      60       5        0.0774288004
      60       6        0.0222794018
      60       7        0.0145389666
      60       8        0.0477684621
      60       9        0.0269129390
      60      10        0.0265169654
      60      11        0.0178381707
      60      12        0.0664957858
      61       1        0.0066161802
      61       2        0.0590076421
      61       3        0.0005889206
      61       4        0.0026748184
      61       5        0.0781335958
      61       6        0.0234922802
      61       7        0.0149388129
      61       8        0.0438616108
      61       9        0.0278176302
      61      10        0.0280752886
      61      11        0.0181970844
      61      12        0.0639193676
      62       1        0.0061503526
      62       2        0.0559200691
      62       3        0.0028468265
      62       4        0.0005020518
      62       5        0.0797080320
      62       6        0.0232998746
      62       7        0.0151233939
      62       8        0.0417805431
      62       9        0.0278175378
      62      10        0.0301534992
      62      11        0.0179256573
      62      12        0.0612498823
      63       1        0.0075822386
      63       2        0.0486120955
      63       3        0.0014558150
      63       4        0.0003390846
      63       5        0.0801339782
      63       6        0.0245844223
      63       7        0.0141126436
      63       8        0.0417473024
      63       9        0.0245700117
      63      10        0.0296843083
      63      11        0.0180233780
      63      12        0.0598182991
      64       1        0.0142007970
      64       2        0.0162444338
      64       3        0.0098667833
      64       4        0.0006196214
      64       5        0.0776586631
      64       6        0.0161390486
      64       7        0.0133994343
      64       8        0.0351880395
      64       9        0.0239073118
      64      10        0.0420599353
      64      11        0.0184115971
      64      12        0.0653022297
      65       1        0.0163040896
      65       2        0.0049601216
      65       3        0.0055378356
      65       4        0.0030840580
      65       5        0.0858626887
      65       6        0.0140990666
      65       7        0.0123987345
      65       8        0.0228956200
      65       9        0.0185141396
      65      10        0.0493154525
      65      11        0.0272413999
      65      12        0.0617898964
      66       1        0.0191969181
      66       2        0.0017670341
      66       3        0.0062090188
      66       4        0.0016632319
      66       5        0.0853918544
      66       6        0.0210013182
      66       7        0.0123272603
      66       8        0.0258792104
      66       9        0.0185571751
      66      10        0.0403437281
      66      11        0.0257052175
      66      12        0.0603224939
      67       1        0.0212994670
      67       2        0.0025835211
      67       3        0.0029633105
      67       4        0.0015599746
      67       5        0.0808970351
