feature,importance_mean,importance_std
bot_ang_gap_std,0.2484837255296982,0.00299366866032003
z_bot,0.11332618435669764,0.005297683540790166
top_z_mean_5nn,0.09040106506478125,0.0030648652719842007
top_zminus_bot_mean,0.08624324186167043,0.0033042371583539
top_dist_3,0.07977345949224961,0.0029951492859096045
top_z_std_5nn,0.07761001631293209,0.001596583821903334
top_dist_2to5_std,0.040155972695645775,0.002027765266308628
bot_nn3_mean,0.04005345750034821,0.0020460891999104064
top_dist_2to5_mean,0.035781284654798996,0.0017011826484536084
bot_nn6_mean,0.028305501138864063,0.0007687612299784413
bot_nn6_std,0.025269752371852344,0.0009735195266250902
top_dist_5,0.02460789374951456,0.000834336776684285
top_count_R1.5,0.019598518601999168,0.002141228891219494
bot_strain,0.019467320421129967,0.0008640564556823528
bot_nn1,0.01944174048257995,0.0006063693658626819
top_dist_2,0.018605816292986462,0.0006710745168164354
top_dist_4,0.016028994582743886,0.0005571824128328929
top_count_R2.0,0.0075160382184937865,0.0009931060929750423
top_count_R1.0,0.005436454346502692,0.0008169705384619916
top_count_R2.5,0.0038935623245108728,0.00023297252423369727
