overall_acc,overall_f1_macro,overall_AA_prec,overall_AA_rec,overall_AB_prec,overall_AB_rec,overall_BA_prec,overall_BA_rec,overall_n,core_acc,core_f1_macro,core_AA_prec,core_AA_rec,core_AB_prec,core_AB_rec,core_BA_prec,core_BA_rec,core_n,boundary_acc,boundary_f1_macro,boundary_AA_prec,boundary_AA_rec,boundary_AB_prec,boundary_AB_rec,boundary_BA_prec,boundary_BA_rec,boundary_n,fold,overall_acc_std,overall_f1_macro_std,core_acc_std,boundary_acc_std,track,model,split
0.9985666291237087,0.9983996472404435,0.9959183673469388,1.0,0.9988461538461539,0.998076923076923,0.9987999999999999,0.9987999999999999,1116.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,837.2,0.9942563153310104,0.9870451434087798,0.95,1.0,0.9955555555555555,0.9922768670309654,0.9958041958041959,0.9958041958041959,279.2,2.0,0.0023365702698804115,0.0021920637759413227,0.0,0.009126105676449628,strict,RF,random_5fold
0.9774916939346875,0.9807889718998296,1.0,1.0,0.9848607099785314,0.9576742380707537,0.9806893502288616,0.9679912165583938,1395.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1046.5,0.9179586563307494,0.9369867153598409,1.0,1.0,0.9475248435774751,0.889184580405126,0.9339881393624907,0.9085805934242182,349.0,1.5,0.026826123762491483,0.022857176866097364,0.0,0.097790901654606,strict,RF,spatial_4block
0.9856205335025688,0.9881463012482281,0.9968944099378882,1.0,0.9944341830460678,0.9800444101664499,0.9656743751281697,0.994405579546206,1395.5,0.9992984097287184,0.9994587673250103,1.0,1.0,0.998404255319149,1.0,1.0,0.9983588621444202,1046.5,0.9492966757230572,0.960266726302912,0.96875,1.0,0.986640175390518,0.9262350144687888,0.9179001031045938,0.9843047427300698,349.0,1.5,0.020965353482974104,0.01649878227886242,0.001403180542563165,0.07760651211594992,strict,HGB,spatial_4block
0.999104263532311,0.9987919967995843,0.9959183673469388,1.0,1.0,0.998076923076923,0.998807157057654,1.0,1116.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,837.2,0.9963469076655052,0.9884841210959593,0.95,1.0,1.0,0.9922768670309654,0.9958904109589042,1.0,279.2,2.0,0.0012669330046554072,0.0018156362456936827,0.0,0.005088569198568632,species_aware,RF,random_5fold
0.9696940452674276,0.9735676144449932,1.0,1.0,0.9833836858006042,0.9386682242990654,0.9738285144566301,0.9596577017114915,1395.5,0.9990231988483627,0.9991228112258447,1.0,1.0,0.9996387283236994,0.9971590909090909,0.9989067055393586,0.9990530303030303,1046.5,0.8921188630490956,0.9122509603028738,1.0,1.0,0.9460132890365449,0.8445121951219512,0.9195583596214512,0.8879310344827587,349.0,1.5,0.036764435746868586,0.0320935268256449,0.00138106801448405,0.13054211395183213,species_aware,RF,spatial_4block
0.9856212874570602,0.9883164705700684,0.9984375,1.0,0.9948506012985933,0.9773487987579268,0.9656321653938716,0.9962393203775018,1395.5,0.9990645463049579,0.9992783336066918,1.0,1.0,0.9978768577494692,1.0,1.0,0.9978118161925602,1046.5,0.9501005342439575,0.9631675177255173,0.9833333333333334,1.0,0.990506329113924,0.9202666391070691,0.9149967679379445,0.9912502061685634,349.0,1.5,0.018627439908654488,0.014746114161143988,0.0018709073900841646,0.0699406911089667,species_aware,HGB,spatial_4block
0.9985671104436807,0.9984000738360355,0.9959183673469388,1.0,0.9992307692307693,0.9976923076923077,0.9984087506831522,0.9992015968063871,1116.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,837.2,0.9940726638932631,0.9869226065437406,0.95,1.0,0.9967213114754099,0.9908584273146535,0.9943519494204427,0.996875,279.2,2.0,0.0016267757053077567,0.0022624314789376817,0.0,0.006899328700102146,leakage_upper,RF,random_5fold
0.9808624988062387,0.9835875614068214,1.0,1.0,0.9989106753812637,0.9433398612749397,0.9692218470157377,0.9975550122249388,1395.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1046.5,0.930232558139535,0.9456496998218915,1.0,1.0,0.9955947136563876,0.8475093013642001,0.9045496986673458,0.993103448275862,349.0,1.5,0.03076670617129385,0.026623449744707147,0.0,0.1121776427488329,leakage_upper,RF,spatial_4block
0.37441777140809746,0.5140875238511174,0.8976545842217484,0.8807531380753139,0.33916083916083917,0.3356401384083045,0.31350925561244586,0.31801837794646426,5582.0,0.2983755375059723,0.46678591035103384,1.0,0.8967889908256881,0.23274058577405857,0.2356991525423729,0.21933085501858737,0.22180451127819548,4186.0,0.6024355300859598,0.5710463774210882,0.38461538461538464,0.7142857142857143,0.6465256797583081,0.6002805049088359,0.5838414634146342,0.5975039001560063,1396.0,,,,,,diagnostic,rule_typepair,none
0.5435327839484055,0.5308014110982152,0.855098389982111,1.0,0.5088592474616763,0.9826989619377162,0.0,0.0,5582.0,0.5523172479694218,0.5501161780984486,0.9667405764966741,1.0,0.5022757697456492,0.9936440677966102,0.0,0.0,4186.0,0.5171919770773639,0.41322005663834754,0.3888888888888889,1.0,0.5279503105590062,0.9537166900420757,0.0,0.0,1396.0,,,,,,diagnostic,rule_dz_only_aa,none
