bot_id,top_id,bot_type,top_type,x,y,z_bot,z_top,dx,dy,dz,dist_xy,type_pair,label_hybrid,dz_thresh,sector6,ang_deg
4974,7745,2,3,49.2070393311929,1.90939248499792,17.4875315907877,20.756653263549,0.6665265416093007,-0.05475016141006006,3.269121672761301,0.6687714189796709,2->3,S1,3.336072339193011,0,355.3041237063812
4975,7746,2,3,51.3941946421775,3.15747901853462,17.4869818031866,20.7547306235777,0.6303657545197936,-0.045719786828870124,3.267748820391102,0.6320215845831422,2->3,S1,3.336072339193011,0,355.8516592807312
4976,7747,2,3,53.5808146860102,4.40609989344833,17.4873829486299,20.7535971524242,0.5952376863878968,-0.037766958889140056,3.2662142037942985,0.5964346120742408,2->3,S1,3.336072339193011,0,356.3695332803882
4977,7748,2,3,55.7669403955742,5.65510764866151,17.4888921401259,20.7534184512786,0.5610642520818985,-0.030599940529280723,3.2645263111527,0.5618980791252232,2->3,S1,3.336072339193011,0,356.8782324266219
4978,7749,2,3,57.952610858298,6.90436640151672,17.4915788184619,20.7542740619396,0.5277687176529966,-0.023949856566740202,3.262695243477701,0.5283118538918617,2->3,S1,3.336072339193011,0,357.4017313297471
4979,7750,2,3,60.1378668201725,8.15374952904414,17.4954242246048,20.7561531956961,0.4952718266196001,-0.017564783660919403,3.2607289710913,0.49558319570801646,2->3,S1,3.336072339193011,0,357.9688601212252
4980,7751,2,3,62.322748673501,9.40313744183503,17.5003221386093,20.7589599838208,0.4634943511848988,-0.011205184696169823,3.258637845211503,0.4636297765937662,2->3,S1,3.336072339193011,0,358.6151184815211
4981,7752,2,3,64.5072965177354,10.6524149137629,17.5060837291962,20.7625172403627,0.4323580928639075,-0.004640023166400553,3.2564335111665024,0.4323829902758664,2->3,S1,3.336072339193011,0,359.3851311148735
4982,7753,2,3,66.6915534934194,11.9014685574805,17.5124446340447,20.7665736813829,0.40178053527628776,0.0023586402086994696,3.2541290473382,0.4017874583788479,2->3,S1,3.336072339193011,0,0.3363492381965435
4983,7754,2,3,68.8755624006563,13.1501862483142,17.5190716675406,20.7708147677409,0.3716798920481921,0.010017831086001294,3.2517431002003008,0.37181487207025943,2->3,S1,3.336072339193011,0,1.543910563022526
4984,7755,2,3,71.059370500961,14.3984527800905,17.5255799234456,20.7748809257465,0.3419681723820105,0.018570226394000855,3.2493010023009,0.342472019631702,2->3,S1,3.336072339193011,0,3.10833478110245
4985,7756,2,3,73.2430281137954,15.6461467886541,17.5315530777808,20.7783942295524,0.3125506010922976,0.02825973807509996,3.2468411517716014,0.31382557422751545,2->3,S1,3.336072339193011,0,5.166436835167323
4986,7757,2,3,75.4265929644339,16.8931406205146,17.536571190706,20.780987781168,0.2833210283567098,0.03934397631940101,3.244416590462002,0.2860397762230371,2->3,S1,3.336072339193011,0,7.905939251935517
4987,7758,2,3,77.6101286856206,18.1392950545649,17.5402410955639,20.7823397583221,0.2541601898922039,0.052100760189098594,3.242098662758199,0.2594453532794972,2->3,S1,3.336072339193011,0,11.584676509631542
4988,7759,2,3,79.793709540669,19.38445828687,17.5422275985438,20.7822090048238,0.22493024084310775,0.06683284029420022,3.239981406280002,0.23464918876384067,2->3,S1,3.336072339193011,0,16.54810428830843
4989,7760,2,3,81.9774211884675,20.6284648224068,17.5422900059774,20.7804723693982,0.1954727512454042,0.08386980019539791,3.238182363420801,0.21270575888833768,2->3,S1,3.336072339193011,0,23.222300400365487
4990,7761,2,3,84.1613584480801,21.8711329259741,17.5403111447001,20.7771550930789,0.16560955580750658,0.10357251160720082,3.236843948378798,0.19532995196687933,2->3,S2,3.336072339193011,1,32.02193429553752
4991,7762,2,3,86.3456297117934,23.1122681040069,17.5363226521486,20.7724500760472,0.13514052952149314,0.12632844415290023,3.2361274238986013,0.1849914552660257,2->3,S2,3.336072339193011,1,43.06973552787089
4992,7763,2,3,88.5303508002843,24.3516668942564,17.5305196466835,20.7667257841759,0.10385134360370785,0.15254509035050035,3.236206137492399,0.18454025619993517,2->3,S2,3.336072339193011,1,55.753313578250435
4993,7764,2,3,90.7156378053196,25.5891237121874,17.5232648717276,20.7605122614638,0.07152856549589615,0.1826347835938975,3.237247389736197,0.1961422949297027,2->3,S2,3.336072339193011,1,68.61229961913152
4994,7765,2,3,92.9016017854083,26.8244457184591,17.5150767573387,20.7544571118639,0.037972842736792245,0.21698825339520056,3.239380354525199,0.22028581183774165,2->3,S2,3.336072339193011,1,80.07378052555423
4995,7766,2,3,95.0883308475277,28.0574667572359,17.5065945458496,20.7492501022483,0.003028494986295982,0.25594273425300074,3.2426555563986987,0.25596065127043294,2->3,S2,3.336072339193011,1,89.32206755612089
4996,7767,2,3,97.2758771219924,29.2880708942664,17.4985234753671,20.7455239098216,-0.033388995934600985,0.2997354807187982,3.247000434454499,0.3015894286132222,2->3,S1,3.336072339193011,2,96.3562513551277
4997,7768,2,3,99.4642385591874,30.5162147160723,17.4915614455803,20.7437418781864,-0.07126098507339407,0.34845784598609697,3.2521804326060995,0.3556697884596061,2->3,S1,3.336072339193011,2,101.55784495004531
4998,7769,2,3,101.65334675911,31.7419494872431,17.4863199020588,20.7441054395648,-0.11044281492598884,0.40200852231170003,3.2577855375060025,0.41690342692284604,2->3,S1,3.336072339193011,2,105.3617373296658
4999,7770,2,3,103.843058202278,32.965436875496,17.4832405212951,20.7464979052585,-0.15064595347399745,0.4600627310939984,3.263257383963399,0.4840990806020587,2->3,S1,3.336072339193011,2,108.13085550979697
5000,7771,2,3,106.033155604378,34.1869554358815,17.4825227906808,20.7504812816289,-0.1914447508479924,0.5220586134376006,3.2679584909481,0.5560542136263693,2->3,S1,3.336072339193011,2,110.1385535688974
5001,7772,2,3,108.22335749558,35.4068952164197,17.4840750114507,20.7553591629746,-0.23229349491400342,0.5872099907346993,3.2712841515239006,0.6314870077824307,2->3,S1,3.336072339193011,2,111.58317966556626
5002,7773,2,3,110.413338090258,36.6257373440224,17.4875032700718,20.7602830605806,-0.27256617890098767,0.6545479138993997,3.2727797905087996,0.709031235892144,2->3,S1,3.336072339193011,2,112.60777211961884
5003,7774,2,3,112.602750719576,37.8440225804694,17.4921475807138,20.764389837955,-0.3116035540959956,0.7229831486917035,3.2722422572411993,0.7872746713932983,2->3,S1,3.336072339193011,2,113.31589630825725
5004,7775,2,3,114.791254473117,39.0623110650264,17.4971692479555,20.7669356691171,-0.3487641482119983,0.7913876495300016,3.2697664211615987,0.8648299502830954,2->3,S1,3.336072339193011,2,113.78306398876789
5005,7776,2,3,116.978539773408,40.2811387349149,17.5016775770524,20.7673978517661,-0.3834730089550078,0.8586788099956024,3.265720274713697,0.9404152526051837,2->3,S1,3.336072339193011,2,114.06481854800631
5006,7777,2,3,119.164348245261,41.5009772382895,17.5048703405878,20.7655367871743,-0.41525896970199483,0.9239004623276017,3.2606664465865016,1.0129324144320382,2->3,S1,3.336072339193011,2,114.2021482656765
5007,7778,2,3,121.348487766068,42.7221997656458,17.506167182219,20.7614067043533,-0.44377845491401047,0.9862888227152027,3.2552395221343,1.0815289912243715,2->3,S1,3.336072339193011,2,114.22525658542796
5008,7779,2,3,123.530838492676,43.9450643871369,17.5052957467486,20.7553244579562,-0.4688260992769955,1.045309553921797,3.250028711207598,1.1456308196288494,2->3,S1,3.336072339193011,2,114.15645179817297
5009,7780,2,3,125.711351548309,45.1697089661057,17.5023192380891,20.7478106188064,-0.49032577835500035,1.1006686845463989,3.2454913807173007,1.2049443647158724,2->3,S1,3.336072339193011,2,114.01201135195743
5010,10591,2,4,127.890041517062,46.3961602070124,17.4976038774597,20.7544053409587,-1.2242773584340085,-0.10745350455160008,3.256801463499002,1.2289838509982849,2->4,S2,3.336072339193011,3,185.01593529045113
5011,10592,2,4,130.066974805537,47.6243552407602,17.491733791707,20.7459232881155,-1.2400186577359875,-0.05839598504760346,3.2541894964085003,1.2413929122574527,2->4,S2,3.336072339193011,3,182.69622827967353
5012,10593,2,4,132.242249618276,48.854166663016,17.4854023363391,20.7377352866334,-1.2524915050869936,-0.012768248424499973,3.2523329502942993,1.2525565849425375,2->4,S2,3.336072339193011,3,180.5840689560147
5013,10594,2,4,134.415987892974,50.0854261543697,17.4793013507118,20.730480516825,-1.261916865000984,0.0297579390672027,3.2511791661132,1.2622676852044652,2->4,S2,3.336072339193011,3,178.64912782799112
5014,10595,2,4,136.588319816457,51.3179482445163,17.4740288574583,20.7246772272261,-1.2685374716479885,0.06956016051329783,3.2506483697677986,1.2704432033372082,2->4,S2,3.336072339193011,3,176.86133340912448
5015,7844,2,3,138.75937485916,52.5515436336321,17.4700316657295,20.7080198020302,-0.5427497346259997,-1.1386889471863029,3.2379881363007,1.2614237166316653,2->3,S1,3.336072339193011,4,244.5154571251415
5016,7845,2,3,140.929280135081,53.7860322796276,17.4675798279133,20.7064438639073,-0.5437929350140109,-1.102588471404701,3.2388640359939984,1.2293950111521144,2->3,S1,3.336072339193011,4,243.7476394833476
5017,7846,2,3,143.098154609109,55.0212476099717,17.4667656417932,20.7069508451928,-0.5427655753609884,-1.0680874469800017,3.2401852033996015,1.198083997135928,2->3,S1,3.336072339193011,4,243.06187727086547
5018,7847,2,3,145.266108865323,56.2570384712316,17.4675221215141,20.7093849196242,-0.5398917640359855,-1.0348636526922022,3.2418627981100983,1.1672300101253972,2->3,S1,3.336072339193011,4,242.44880292970433
5019,7848,2,3,147.43324824504,57.4932707856599,17.4696485240204,20.7134701687372,-0.5353830585110018,-1.0026294434134044,3.2438216447167996,1.1366181505413628,2->3,S1,3.336072339193011,4,241.8987196510717
5020,7849,2,3,149.599668364976,58.7298235994236,17.4728463456773,20.7188414005563,-0.5294328861639883,-0.9711268132465989,3.2459950548789998,1.1060680215784313,2->3,S1,3.336072339193011,4,241.40193932966758
5021,7850,2,3,151.765462542002,59.9665875987757,17.4767571772214,20.7250790689861,-0.5222270489300058,-0.9401242136953059,3.2483218917647,1.0754322981063753,2->3,S1,3.336072339193011,4,240.94838496304936
5022,7851,2,3,153.930717341365,61.2034619876212,17.4809977102863,20.7317474290681,-0.5139379302760005,-0.9094102792231027,3.250749718781801,1.0445856844381034,2->3,S1,3.336072339193011,4,240.52776751548134
5023,7852,2,3,156.095517427684,62.4403514410634,17.4851936118999,20.7384203317531,-0.5047334888820103,-0.8787879928777969,3.2532267198532026,1.0134220400332692,2->3,S1,3.336072339193011,4,240.1290158719337
5024,7853,2,3,158.259943342955,63.6771651328149,17.4890060944074,20.7447109688393,-0.4947747860170182,-0.8480708522670994,3.255704874431899,0.9818483891840076,2->3,S1,3.336072339193011,4,239.74019628831718
5025,7854,2,3,160.424076922718,64.913813470301,17.4921547070118,20.7502928461694,-0.4842235674169899,-0.817077706720795,3.2581381391576016,0.9497833658588414,2->3,S1,3.336072339193011,4,239.34780777922037
5026,7855,2,3,162.587997294374,66.1502061974755,17.4944323397023,20.7549129143752,-0.4732396339539946,-0.7856287196190976,3.2604805746729006,0.9171522426703506,2->3,S1,3.336072339193011,4,238.93647680697455
5027,7856,2,3,164.751789059744,67.3862539487814,17.4957121190418,20.7584009263139,-0.4619911859300032,-0.7535446770389029,3.2626888072720988,0.8838922084568204,2->3,S1,3.336072339193011,4,238.48792827110194
5028,7857,2,3,166.91553668577,68.621863769369,17.4959526059864,20.7606740372989,-0.45065032624600576,-0.7206410010402067,3.264721431312502,0.849946568277008,2->3,S1,3.336072339193011,4,237.98034279578982
5029,7858,2,3,169.079332878087,69.8569402588122,17.4952023511567,20.7617397507628,-0.4394031021220144,-0.6867279937632986,3.2665373996061007,0.8152732201983667,2->3,S1,3.336072339193011,4,237.3868428074373
5030,7859,2,3,171.243277665602,71.0913852449179,17.4935992736663,20.7616967955145,-0.42845171041298613,-0.6516086717000036,3.2680975218481976,0.7798491707955176,2->3,S1,3.336072339193011,4,236.67391329991153
5031,7860,2,3,173.407480407155,72.3250959247744,17.4913646617158,20.7607338733829,-0.4180153810629861,-0.6150766172513045,3.269369211667101,0.7436774192447564,2->3,S1,3.336072339193011,4,235.79937912180898
5032,7804,2,3,51.3570915308148,0.651746048471676,17.4897880647633,20.7585887132155,0.7042989982386985,-0.04500622632332707,3.268800648452199,0.7057355307251441,2->3,S1,3.336072339193011,0,356.3436474875448
5033,7805,2,3,53.5444171374617,1.90025548195193,17.4889747849831,20.7569744498601,0.6678103108250966,-0.03677180935419,3.2679996648769993,0.6688219323612923,2->3,S1,3.336072339193011,0,356.8482906057658
5034,7806,2,3,55.7313088790515,3.14922853673009,17.4891704619534,20.7561419741137,0.6321509823662055,-0.029471675732310132,3.2669715121603,0.6328376128020751,2->3,S1,3.336072339193011,0,357.330731330798
5035,7807,2,3,57.9177984924388,4.39852588071503,17.4905356335846,20.7562573742888,0.5972589760154037,-0.02283011785818001,3.265721740704201,0.597695155336219,2->3,S1,3.336072339193011,0,357.81094479953094
5036,7808,2,3,60.1039204417177,5.6480163785746,17.4931391426566,20.7573979333598,0.5630682533815019,-0.016587732613269957,3.2642587907032024,0.563312533891573,2->3,S1,3.336072339193011,0,358.3125806396344
5037,7809,2,3,62.2897074983904,6.8975768564993,17.4969562106704,20.7595487636752,0.5295143603704986,-0.01049897420077972,3.2625925530047972,0.5296184346280319,2->3,S1,3.336072339193011,0,358.86411371355024
5038,7810,2,3,64.4751946404306,8.14708776982294,17.5018718219239,20.7626052593175,0.49652955429040446,-0.004326021832680382,3.2607334373936006,0.4965483992006464,2->3,S1,3.336072339193011,0,359.5008222176237
5039,7811,2,3,66.6604174100737,9.39643390214637,17.5076833309484,20.7663778656019,0.4640455439125901,0.002163070410430734,3.2586945346535003,0.4640505852800232,2->3,S1,3.336072339193011,0,0.2670727244892109
5040,7812,2,3,68.8454110399922,10.6454996927819,17.5141061256039,20.7705979781331,0.43199395223359716,0.009199969946498854,3.2564918525292015,0.43209190482282805,2->3,S1,3.336072339193011,0,1.220016572617459
5041,7813,2,3,71.0302155621264,11.8941689562562,17.5207846346805,20.774932129606,0.40030082756020136,0.017018971573499186,3.254147494925501,0.40066244887536145,2->3,S1,3.336072339193011,0,2.434489974547017
5042,7814,2,3,73.2148721545925,13.1423213072591,17.5273092324904,20.7790033902062,0.36888919009760457,0.025862796644499753,3.2516941577158,0.3697946982058307,2->3,S1,3.336072339193011,0,4.010440913949326
5043,7815,2,3,75.3994278795389,14.3898301535963,17.5332419433955,20.782419337456,0.3376727269791928,0.03598592433339931,3.2491773940604993,0.3395848307797238,2->3,S1,3.336072339193011,0,6.083075607740861
5044,7816,2,3,77.583935381829,15.6365593647426,17.5381423087111,20.7848040769031,0.30655446857581126,0.04766119868359908,3.2466617681919985,0.31023738018452185,2->3,S1,3.336072339193011,0,8.837242849203566
