class,true_frac,pred_frac,delta_pct_pt
AA,0.08563238982443569,0.08599068434252956,0.03582945180938685
AB,0.46596202078108206,0.4652454317448943,-0.07165890361877647
BA,0.4484055893944823,0.44876388391257616,0.035829451809388235
