Superlattice vectors (celldm1_l units):
-0.50000000000 9.52627940000 0.00000000000
-8.50000000000 4.33012700000 0.00000000000
Layer 1 points (Angstrom):
C -20.65500000000 9.11924745919 0.00000000000
C -21.87000000000 11.22368918119 0.00000000000
C -17.01000000000 7.01480573719 0.00000000000
C -18.22500000000 9.11924745919 0.00000000000
C -19.44000000000 8.41776688800 0.00000000000
C -19.44000000000 11.22368918119 0.00000000000
C -20.65500000000 10.52220861000 0.00000000000
C -20.65500000000 13.32813090319 0.00000000000
C -21.87000000000 12.62665033200 0.00000000000
C -21.87000000000 15.43257262519 0.00000000000
C -23.08500000000 17.53701434719 0.00000000000
C -13.36500000000 4.91036401519 0.00000000000
C -14.58000000000 7.01480573719 0.00000000000
C -15.79500000000 6.31332516600 0.00000000000
C -15.79500000000 9.11924745919 0.00000000000
C -17.01000000000 8.41776688800 0.00000000000
C -17.01000000000 11.22368918119 0.00000000000
C -18.22500000000 10.52220861000 0.00000000000
C -18.22500000000 13.32813090319 0.00000000000
C -19.44000000000 12.62665033200 0.00000000000
C -19.44000000000 15.43257262519 0.00000000000
C -20.65500000000 14.73109205400 0.00000000000
C -20.65500000000 17.53701434719 0.00000000000
C -21.87000000000 16.83553377600 0.00000000000
C -21.87000000000 19.64145606919 0.00000000000
C -23.08500000000 18.93997549800 0.00000000000
C -23.08500000000 21.74589779119 0.00000000000
C -9.72000000000 2.80592229319 0.00000000000
C -10.93500000000 4.91036401519 0.00000000000
C -12.15000000000 4.20888344400 0.00000000000
C -12.15000000000 7.01480573719 0.00000000000
C -13.36500000000 6.31332516600 0.00000000000
C -13.36500000000 9.11924745919 0.00000000000
C -14.58000000000 8.41776688800 0.00000000000
C -14.58000000000 11.22368918119 0.00000000000
C -15.79500000000 10.52220861000 0.00000000000
C -15.79500000000 13.32813090319 0.00000000000
C -17.01000000000 12.62665033200 0.00000000000
C -17.01000000000 15.43257262519 0.00000000000
C -18.22500000000 14.73109205400 0.00000000000
C -18.22500000000 17.53701434719 0.00000000000
C -19.44000000000 16.83553377600 0.00000000000
C -19.44000000000 19.64145606919 0.00000000000
C -20.65500000000 18.93997549800 0.00000000000
C -20.65500000000 21.74589779119 0.00000000000
C -21.87000000000 21.04441722000 0.00000000000
C -21.87000000000 23.85033951319 0.00000000000
C -23.08500000000 23.14885894200 0.00000000000
C -23.08500000000 25.95478123519 0.00000000000
C -7.29000000000 2.80592229319 0.00000000000
C -8.50500000000 2.10444172200 0.00000000000
C -8.50500000000 4.91036401519 0.00000000000
C -9.72000000000 4.20888344400 0.00000000000
C -9.72000000000 7.01480573719 0.00000000000
C -10.93500000000 6.31332516600 0.00000000000
C -10.93500000000 9.11924745919 0.00000000000
C -12.15000000000 8.41776688800 0.00000000000
C -12.15000000000 11.22368918119 0.00000000000
C -13.36500000000 10.52220861000 0.00000000000
C -13.36500000000 13.32813090319 0.00000000000
C -14.58000000000 12.62665033200 0.00000000000
C -14.58000000000 15.43257262519 0.00000000000
C -15.79500000000 14.73109205400 0.00000000000
C -15.79500000000 17.53701434719 0.00000000000
C -17.01000000000 16.83553377600 0.00000000000
C -17.01000000000 19.64145606919 0.00000000000
C -18.22500000000 18.93997549800 0.00000000000
C -18.22500000000 21.74589779119 0.00000000000
C -19.44000000000 21.04441722000 0.00000000000
C -19.44000000000 23.85033951319 0.00000000000
C -20.65500000000 23.14885894200 0.00000000000
C -20.65500000000 25.95478123519 0.00000000000
C -21.87000000000 25.25330066400 0.00000000000
C -21.87000000000 28.05922295719 0.00000000000
C -23.08500000000 27.35774238600 0.00000000000
C -23.08500000000 30.16366467919 0.00000000000
C -3.64500000000 0.70148057119 0.00000000000
C -4.86000000000 2.80592229319 0.00000000000
C -6.07500000000 2.10444172200 0.00000000000
C -6.07500000000 4.91036401519 0.00000000000
C -7.29000000000 4.20888344400 0.00000000000
C -7.29000000000 7.01480573719 0.00000000000
C -8.50500000000 6.31332516600 0.00000000000
C -8.50500000000 9.11924745919 0.00000000000
C -9.72000000000 8.41776688800 0.00000000000
C -9.72000000000 11.22368918119 0.00000000000
C -10.93500000000 10.52220861000 0.00000000000
C -10.93500000000 13.32813090319 0.00000000000
C -12.15000000000 12.62665033200 0.00000000000
C -12.15000000000 15.43257262519 0.00000000000
C -13.36500000000 14.73109205400 0.00000000000
C -13.36500000000 17.53701434719 0.00000000000
C -14.58000000000 16.83553377600 0.00000000000
C -14.58000000000 19.64145606919 0.00000000000
C -15.79500000000 18.93997549800 0.00000000000
C -15.79500000000 21.74589779119 0.00000000000
C -17.01000000000 21.04441722000 0.00000000000
C -17.01000000000 23.85033951319 0.00000000000
C -18.22500000000 23.14885894200 0.00000000000
C -18.22500000000 25.95478123519 0.00000000000
C -19.44000000000 25.25330066400 0.00000000000
C -19.44000000000 28.05922295719 0.00000000000
C -20.65500000000 27.35774238600 0.00000000000
C -20.65500000000 30.16366467919 0.00000000000
C -21.87000000000 29.46218410800 0.00000000000
C -23.08500000000 31.56662583000 0.00000000000
C -2.43000000000 0.00000000000 0.00000000000
C -2.43000000000 2.80592229319 0.00000000000
C -3.64500000000 2.10444172200 0.00000000000
C -3.64500000000 4.91036401519 0.00000000000
C -4.86000000000 4.20888344400 0.00000000000
C -4.86000000000 7.01480573719 0.00000000000
C -6.07500000000 6.31332516600 0.00000000000
C -6.07500000000 9.11924745919 0.00000000000
C -7.29000000000 8.41776688800 0.00000000000
C -7.29000000000 11.22368918119 0.00000000000
C -8.50500000000 10.52220861000 0.00000000000
C -8.50500000000 13.32813090319 0.00000000000
C -9.72000000000 12.62665033200 0.00000000000
C -9.72000000000 15.43257262519 0.00000000000
C -10.93500000000 14.73109205400 0.00000000000
C -10.93500000000 17.53701434719 0.00000000000
C -12.15000000000 16.83553377600 0.00000000000
C -12.15000000000 19.64145606919 0.00000000000
C -13.36500000000 18.93997549800 0.00000000000
C -13.36500000000 21.74589779119 0.00000000000
C -14.58000000000 21.04441722000 0.00000000000
